nombre;precio;met_pago;link;todo
Samsung Galaxy A55 5G 256 GB;$1.121.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a55-5g-256-gb/f;"Beneficios Exclusivos
Samsung Galaxy A55 5G 256 GB

2 colores

$1.121.999
Conexión Total
$1.009.800
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$834.545"
Motorola Moto G04 64 GB;$249.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g04/f;"Incluye accesorios
Motorola Moto G04 64 GB

3 colores

$249.999
Conexión Total
$225.000
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$185.950"
Motorola Moto G24 Power 128 GB;$309.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g24-power/f;"Incluye accesorios
Motorola Moto G24 Power 128 GB

2 colores

$385.699
19% OFF
$309.999
Conexión Total
$278.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$230.578"
Samsung Galaxy A35 5G 256 GB;$799.999;"Hasta 6 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a35-5g-256-gb/f;"Samsung Galaxy A35 5G 256 GB
$799.999
Conexión Total
$720.000
*
Hasta 6 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$595.041"
Samsung Galaxy S24+ 512 GB;$2.689.999;"Hasta 6 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s24-plus-512-gb/f;"Samsung Galaxy S24+ 512 GB

2 colores

$2.689.999
Hasta 6 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.223.140"
Samsung Galaxy Z Flip6 512 GB;$2.649.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-zflip6-512-gb/f;"Samsung Galaxy Z Flip6 512 GB

2 colores

$2.649.999
Conexión Total
$2.385.000
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.971.074"
Samsung Galaxy Z Fold6 512 GB;$4.319.999;"Hasta 6 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-zfold6-512-gb/f;"Samsung Galaxy Z Fold6 512 GB
$4.319.999
Conexión Total
$3.888.000
*
Hasta 6 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$3.213.223"
Samsung Galaxy A35 5G 128 GB;$815.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a35-5g/f;"Samsung Galaxy A35 5G 128 GB

2 colores

$815.999
Conexión Total
$734.400
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$606.942"
TCL 501 64 GB;$114.499;"Precio exclusivo

Abonando en 1 pago";/celulares/tcl/tcl-501-64-gb/f;"Incluye accesorios
TCL 501 64 GB
$159.999
28% OFF
$114.499
Conexión Total
$103.049
*

Precio exclusivo

Abonando en 1 pago

*Precio sin impto.$85.165"
iPhone 14 Pro + Cable USB-C Lightning 1mt;$2.399.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/apple/iphone-14-pro-128-gb-cable-1mt/f;"Incluye accesorio
iPhone 14 Pro + Cable USB-C Lightning 1mt
$3.050.798
21% OFF
$2.399.999
Conexión Total
$2.159.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.785.124"
